EN,Owner,Unit name,TSO Unit ID,Fuel,Fuel calorific value [kJ/kg],Emissivity [kgCO2/MWh],Transport distance [km],Installed capacity gross [MW],Net efficiency [%],Commissioning date,Last major renovation,Capacity factor 2019 [%],SRMC 2020 [PLN/MWh],IED decomission date,Announced decomission date,Capacity contract end date,Last year before going into reserve,Proposed decommission date,Latitude,Longitude,,,,,,,,,,,,,,,,,,,,
,PGE,Rybnik B5,RYB 2-05,Hard coal,20265,925,20,225,34%,1978,,44%,293.36,2030,,2025,2025,2030,50.133,18.524,,,,,,,,,,,,,,,,,,,,
,PGE,Rybnik B6,RYB 2-06,Hard coal,20265,925,20,215,34%,1978,,40%,293.36,2030,,,2022,2022,50.133,18.524,,,,,,,,,,,,,,,,,,,,
,PGE,Rybnik B7,RYB 4-07,Hard coal,20265,925,20,225,34%,1978,,8%,293.36,2030,,,2022,2022,50.133,18.524,,,,,,,,,,,,,,,,,,,,
,PGE,Rybnik B8,RYB 4-08,Hard coal,20265,925,20,225,34%,1978,,31%,293.36,2030,,,2023,2023,50.133,18.524,,,,,,,,,,,,,,,,,,,,
Total,PGE,,,Hard coal,20265,925,20,1790,34%,,,29%,293,,,,,,50.133,18.524,,,,,,,,,,,,,,,,,,,,
,Tauron,Siersza B1,SIA 1-01,Hard coal,18420,927,30,153,32%,2001,,48%,319.55,2030,,2025,2025,2030,50.206,19.463,,,,,,,,,,,,,,,,,,,,
,Tauron,Siersza B2,SIA 1-02,Hard coal,18420,927,30,153,32%,2002,,33%,319.55,2030,,2025,2025,2030,50.206,19.463,,,,,,,,,,,,,,,,,,,,
,Tauron,Siersza B3,SIA 1-03,Hard coal,18420,927,30,123,32%,1969,,0%,319.55,2021,2021,,2021,2021,50.206,19.463,,,,,,,,,,,,,,,,,,,,
,Tauron,Siersza B6,SIA 1-06,Hard coal,18420,927,30,128,32%,1970,,0%,319.55,2021,2021,,2021,2021,50.206,19.463,,,,,,,,,,,,,,,,,,,,
Total,Tauron,,,Hard coal,18420,927,30,557,32%,,,22%,320,,,,,,50.206,19.463,,,,,,,,,,,,,,,,,,,,
,CEZ,Skawina B3,SNA11-03,Hard coal,20464,972,50,110,32%,1958,1994,1%,306.44,,,,2021,2021,49.976,19.801,,,,,,,,,,,,,,,,,,,,
,CEZ,Skawina B5,SNA22-05,Hard coal,20464,972,50,110,32%,1960,1993,54%,306.44,,,,2021,2021,49.976,19.801,,,,,,,,,,,,,,,,,,,,
,CEZ,Skawina B6,SNA22-06,Hard coal,20464,972,50,110,32%,1960,2015,33%,306.44,,,,2021,2021,49.976,19.801,,,,,,,,,,,,,,,,,,,,
Total,CEZ,,,Hard coal,20464,972,50,330,32%,,,30%,306,,,,,,49.976,19.801,,,,,,,,,,,,,,,,,,,,
,Tauron,Stalowa Wola B7,STW31-07,Hard coal,22423,1007,150,125,32%,1958,,0%,298.84,2021,2021,,2021,2021,50.55,22.067,,,,,,,,,,,,,,,,,,,,
,Tauron,Stalowa Wola B8,STW31-08,Hard coal,22423,1007,150,125,32%,1965,,0%,298.84,2021,2021,,2021,2021,50.55,22.067,,,,,,,,,,,,,,,,,,,,
Total,Tauron,,,Hard coal,22423,1007,150,250,32%,,,0%,299,,,,,,50.55,22.067,,,,,,,,,,,,,,,,,,,,
,PGE,Turow B1,TUR 1-01,Lignite,10802,1016,0,235,36%,1998,,7%,213.27,,2044,2025,2026,2026,50.949,14.913,,,,,,,,,,,,,,,,,,,,
,PGE,Turow B11,TUR 4-11,Lignite,10802,886,0,460,42%,2021,,,187.97,,2044,2035,2026,2026,50.949,14.913,,,,,,,,,,,,,,,,,,,,
,PGE,Turow B2,TUR 2-02,Lignite,10802,1016,0,235,36%,1998,,48%,213.27,,2044,2025,2026,2026,50.949,14.913,,,,,,,,,,,,,,,,,,,,
,PGE,Turow B3,TUR 2-03,Lignite,10802,1016,0,235,36%,2000,,15%,213.27,,2044,2025,2026,2026,50.949,14.913,,,,,,,,,,,,,,,,,,,,
,PGE,Turow B4,TUR 2-04,Lignite,10802,1016,0,261,36%,2004,,50%,213.27,,2044,2025,2026,2026,50.949,14.913,,,,,,,,,,,,,,,,,,,,
,PGE,Turow B5,TUR 2-05,Lignite,10802,1016,0,261,36%,2003,,51%,213.27,,2044,2028,2026,2026,50.949,14.913,,,,,,,,,,,,,,,,,,,,
,PGE,Turow B6,TUR 2-06,Lignite,10802,968,0,261,38%,2005,,61%,203.89,,2044,2028,2026,2026,50.949,14.913,,,,,,,,,,,,,,,,,,,,
Total,PGE,,,Lignite,10802,979,0,1948,38%,,,30%,206,,,,,,50.949,14.913,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
